service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4_1017_601,1,1,1,1,0,0,0,20260908,20261017
4_1017_562,0,0,0,0,1,0,0,20260908,20261017
4_1017_603,0,0,0,0,0,1,0,20260908,20261017
4_1017_609,0,0,0,0,0,0,1,20260908,20261017
4_1017_605_EXC,0,0,0,0,0,0,0,20260908,20261017
4_1017_609_EXC,0,0,0,0,0,0,0,20260908,20261017
4_1017_562_EXC,0,0,0,0,0,0,0,20260908,20261017
5_1018_601,1,1,1,1,1,0,0,20260908,20261017
5_1018_603,0,0,0,0,0,1,1,20260908,20261017
5_1018_603_EXC,0,0,0,0,0,0,0,20260908,20261017
6_1057_601,1,1,1,1,1,0,0,20260908,20261017
6_1057_603,0,0,0,0,0,1,0,20260908,20261017
6_1057_604,0,0,0,0,0,0,1,20260908,20261017
6_1057_604_EXC,0,0,0,0,0,0,0,20260908,20261017
7_1061_601,1,1,1,1,0,0,0,20260908,20261017
7_1061_602,0,0,0,0,1,0,0,20260908,20261017
7_1061_603,0,0,0,0,0,1,0,20260908,20261017
7_1061_604,0,0,0,0,0,0,1,20260908,20261017
7_1061_605_EXC,0,0,0,0,0,0,0,20260908,20261017
7_1061_604_EXC,0,0,0,0,0,0,0,20260908,20261017
7_1061_602_EXC,0,0,0,0,0,0,0,20260908,20261017
8_1066_601,1,1,1,1,0,0,0,20260908,20261017
8_1066_602,0,0,0,0,1,0,0,20260908,20261017
8_1066_603,0,0,0,0,0,1,0,20260908,20261017
8_1066_604,0,0,0,0,0,0,1,20260908,20261017
8_1066_602_EXC,0,0,0,0,0,0,0,20260908,20261017
8_1066_604_EXC,0,0,0,0,0,0,0,20260908,20261017
8_1066_605_EXC,0,0,0,0,0,0,0,20260908,20261017
9_922_606,1,1,1,1,0,0,0,20260908,20261017
9_922_607,0,0,0,0,1,0,0,20260908,20261017
9_922_603,0,0,0,0,0,1,0,20260908,20261017
9_922_604,0,0,0,0,0,0,1,20260908,20261017
9_922_605_EXC,0,0,0,0,0,0,0,20260908,20261017
9_922_604_EXC,0,0,0,0,0,0,0,20260908,20261017
9_922_607_EXC,0,0,0,0,0,0,0,20260908,20261017
10_923_561,1,1,1,1,0,0,0,20260908,20261017
10_923_562,0,0,0,0,1,0,0,20260908,20261017
10_923_603,0,0,0,0,0,1,0,20260908,20261017
10_923_609,0,0,0,0,0,0,1,20260908,20261017
10_923_562_EXC,0,0,0,0,0,0,0,20260908,20261017
10_923_610_EXC,0,0,0,0,0,0,0,20260908,20261017
10_923_609_EXC,0,0,0,0,0,0,0,20260908,20261017
