service_id,date,exception_type
62_1077_656,20260908,2
62_1077_601_EXC,20260908,1
19_930_621,20260928,2
19_930_601_EXC,20260928,1
32_1029_651,20260928,2
32_1029_601_EXC,20260928,1
35_935_601,20260928,2
35_935_606_EXC,20260928,1
60_966_601,20260928,2
60_966_606_EXC,20260928,1
70_1058_561,20260928,2
70_1058_601_EXC,20260928,1
89_1074_606,20260928,2
89_1074_601_EXC,20260928,1
19_930_621,20260929,2
19_930_601_EXC,20260929,1
32_1029_651,20260929,2
32_1029_601_EXC,20260929,1
35_935_601,20260929,2
35_935_606_EXC,20260929,1
60_966_601,20260929,2
60_966_606_EXC,20260929,1
70_1058_561,20260929,2
70_1058_601_EXC,20260929,1
89_1074_606,20260929,2
89_1074_601_EXC,20260929,1
19_930_621,20260930,2
19_930_601_EXC,20260930,1
32_1029_651,20260930,2
32_1029_601_EXC,20260930,1
35_935_601,20260930,2
35_935_606_EXC,20260930,1
60_966_601,20260930,2
60_966_606_EXC,20260930,1
70_1058_561,20260930,2
70_1058_601_EXC,20260930,1
89_1074_606,20260930,2
89_1074_601_EXC,20260930,1
19_930_621,20261001,2
19_930_601_EXC,20261001,1
32_1029_652,20261001,2
32_1029_602_EXC,20261001,1
35_935_601,20261001,2
35_935_606_EXC,20261001,1
60_966_601,20261001,2
60_966_606_EXC,20261001,1
62_1077_656,20261001,2
62_1077_611_EXC,20261001,1
70_1058_561,20261001,2
70_1058_601_EXC,20261001,1
89_1074_606,20261001,2
89_1074_601_EXC,20261001,1
19_930_622,20261002,2
19_930_602_EXC,20261002,1
32_1029_651,20261002,2
32_1029_601_EXC,20261002,1
35_935_601,20261002,2
35_935_606_EXC,20261002,1
60_966_602,20261002,2
60_966_607_EXC,20261002,1
62_1077_657,20261002,2
62_1077_612_EXC,20261002,1
70_1058_562,20261002,2
70_1058_602_EXC,20261002,1
89_1074_607,20261002,2
89_1074_602_EXC,20261002,1
19_930_623,20261003,2
19_930_603_EXC,20261003,1
